time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
6.93331,0.01667,10.45948,-1,-24.92917,25.02547,87.9828,-18.07331,2.42028,3.05776,2.42028,3.05776,-1.32269,-1.32269,-0.19418,-0.19418,2.46014,-1.11987,2.66391,2.4316,339.922,-859.588,572.0666,431.9502,339.922,-859.588,572.0666,431.9502,-552.6178,-1640.369,572.0666,431.9502,0,0,0,0,0,0,0,0,46.27266,41.71014,87.9828
6.94997,0.01667,10.63567,-1,-24.89516,25.63449,82.67381,-18.04745,2.45834,3.11298,2.45834,3.11298,-1.34806,-1.34806,-0.18917,-0.18917,2.5648,-1.08911,2.58156,2.34988,477.8162,-693.3619,585.4223,450.6459,477.8162,-693.3619,585.4223,450.6459,-430.2529,-1492.605,585.4223,450.6459,0,0,0,0,0,0,0,0,39.63214,43.04167,82.67381
6.96664,0.01667,10.81422,-1,-24.86024,26.1447,78.15317,-17.93847,2.49973,3.16877,2.49973,3.16877,-1.36762,-1.36762,-0.18324,-0.18324,2.57782,-1.12509,2.48627,2.25773,589.806,-568.8563,590.3671,462.0724,589.806,-568.8563,590.3671,462.0724,-331.4633,-1382.759,590.3671,462.0724,0,0,0,0,0,0,0,0,34.43139,43.72178,78.15317
6.98331,0.01667,10.9952,-1,-24.82438,26.57371,74.56099,-17.7753,2.54385,3.22496,2.54385,3.22496,-1.38291,-1.38291,-0.17716,-0.17716,2.52327,-1.20818,2.38905,2.16502,672.473,-481.7381,588.6459,466.8861,672.473,-481.7381,588.6459,466.8861,-259.3333,-1306.894,588.6459,466.8861,0,0,0,0,0,0,0,0,30.71073,43.85026,74.56099
6.99997,0.01667,11.17852,-1,-24.78757,26.94094,72.00979,-17.58358,2.59005,3.28138,2.59005,3.28138,-1.39542,-1.39542,-0.17157,-0.17157,2.42441,-1.32002,2.2987,2.07948,724.6758,-427.4241,582.0676,466.8159,724.6758,-427.4241,582.0676,466.8159,-214.8855,-1260.841,582.0676,466.8159,0,0,0,0,0,0,0,0,28.43574,43.57405,72.00979
7.01664,0.01667,11.36397,-1,-24.74983,27.26518,70.47675,-17.38474,2.63771,3.33792,2.63771,3.33792,-1.4065,-1.4065,-0.16695,-0.16695,2.30229,-1.4444,2.22171,2.00674,748.9808,-401.0545,572.2916,463.3587,748.9808,-401.0545,572.2916,463.3587,-195.7791,-1240.177,572.2916,463.3587,0,0,0,0,0,0,0,0,27.45245,43.0243,70.47675
7.03331,0.01667,11.55127,-1,-24.71119,27.56352,69.87833,-17.1956,2.68626,3.39445,2.68626,3.39445,-1.41731,-1.41731,-0.16362,-0.16362,2.17477,-1.56791,2.16244,1.95049,749.7158,-397.4592,560.8709,458.0884,749.7158,-397.4592,560.8709,458.0884,-198.0747,-1240.199,560.8709,458.0884,0,0,0,0,0,0,0,0,27.54742,42.33091,69.87833
7.04997,0.01667,11.74008,-1,-24.67172,27.85041,70.07443,-17.0282,2.73519,3.45091,2.73519,3.45091,-1.42879,-1.42879,-0.16178,-0.16178,2.0558,-1.68032,2.12326,1.91269,732.3615,-411.1018,549.0751,452.4979,732.3615,-411.1018,549.0751,452.4979,-216.7869,-1255.868,549.0751,452.4979,0,0,0,0,0,0,0,0,28.46582,41.60862,70.07443
7.06664,0.01667,11.93008,-1,-24.63147,28.13709,70.89326,-16.88996,2.78414,3.50723,2.78414,3.50723,-1.44157,-1.44157,-0.16151,-0.16151,1.9553,-1.77462,2.10482,1.89373,702.6643,-436.2721,537.8441,447.9082,702.6643,-436.2721,537.8441,447.9082,-246.6881,-1281.99,537.8441,447.9082,0,0,0,0,0,0,0,0,29.94188,40.95138,70.89326
7.08331,0.01667,12.12098,-1,-24.5905,28.43141,72.14885,-16.78416,2.83281,3.56338,2.83281,3.56338,-1.45608,-1.45608,-0.16276,-0.16276,1.87919,-1.84687,2.10632,1.89276,666.6813,-467.4477,528.181,445.4009,666.6813,-467.4477,528.181,445.4009,-282.2685,-1313.538,528.181,445.4009,0,0,0,0,0,0,0,0,31.70307,40.44578,72.14885
7.09997,0.01667,12.31252,-1,-24.54888,28.73799,73.66882,-16.71035,2.88105,3.61938,2.88105,3.61938,-1.47244,-1.47244,-0.16541,-0.16541,1.82958,-1.8961,2.12565,1.90779,630.2273,-499.738,521.2955,445.7628,630.2273,-499.738,521.2955,445.7628,-318.2369,-1346.062,521.2955,445.7628,0,0,0,0,0,0,0,0,33.49405,40.17477,73.66882
7.11664,0.01667,12.50454,-1,-24.50665,29.05896,75.32116,-16.66506,2.92881,3.67524,2.92881,3.67524,-1.4906,-1.4906,-0.16923,-0.16923,1.80541,-1.92373,2.15965,1.93587,597.3162,-529.2786,517.9861,449.4417,597.3162,-529.2786,517.9861,449.4417,-350.94,-1376.043,517.9861,449.4417,0,0,0,0,0,0,0,0,35.13103,40.19012,75.32116
