time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
15.89994,0.01667,10.11375,-1,-24.99464,23.44946,100.3893,-17.74758,2.35645,2.94982,2.35645,2.94982,-1.24833,-1.24833,-0.19791,-0.19791,1.87935,-1.46323,2.73898,2.51748,519.9886,-334.4401,746.8998,547.0109,962.2607,0,519.9005,0,0.22196,0,0.22196,0,0.78248,1,0.90012,1,618.1571,-334.4401,696.5141,547.0109,6.74133,-1330.888,516.2955,372.9209,6.74133,-1330.888,516.2955,372.9209,-849.7242,-2062.082,516.2955,372.9209,-855.8342,-855.8344,0,0,2025.483,2025.483,0,0,0,0,0,0,0,0,0,0,63.44833,36.94096,100.3893
15.9166,0.01667,10.28565,-1,-24.96231,24.30185,93.94025,-17.98434,2.38617,3.00334,2.38617,3.00334,-1.28995,-1.28995,-0.1974,-0.1974,2.23939,-1.23786,2.72083,2.49157,733.2473,-243.9966,743.765,548.0701,842.0453,0,454.7008,0,0.19534,0,0.19534,0,0.80857,1,0.9121,1,754.4998,-243.9966,687.2995,548.0701,180.7696,-1071.41,549.0266,405.9522,180.7696,-1071.41,549.0266,405.9522,-694.3653,-1829.573,549.0266,405.9522,-858.2484,-858.2484,0,0,2033.658,2033.658,0,0,0,0,0,0,0,0,0,0,54.2673,39.67295,93.94025
15.93327,0.01667,10.45961,-1,-24.92915,25.02568,87.98683,-18.07327,2.42032,3.0578,2.42032,3.0578,-1.3227,-1.3227,-0.19418,-0.19418,2.4601,-1.1199,2.66395,2.43164,887.6699,-202.2118,721.4726,539.6885,709.4503,0,383.4879,0,0.16623,0,0.16623,0,0.8371,1,0.9252,1,858.0451,-202.2118,665.2907,539.6885,339.7239,-859.7356,572.0117,431.897,339.7239,-859.7356,572.0117,431.897,-552.7997,-1640.505,572.0117,431.897,-860.8715,-860.8715,0,0,2042.413,2042.413,0,0,0,0,0,0,0,0,0,0,46.28118,41.70565,87.98683
15.94994,0.01667,10.6358,-1,-24.89513,25.63473,82.67611,-18.04753,2.45837,3.11301,2.45837,3.11301,-1.34808,-1.34808,-0.18918,-0.18918,2.56487,-1.08906,2.58167,2.34997,975.5367,-192.4817,687.0714,524.6844,572.0123,0,310.2525,0,0.13585,0,0.13585,0,0.86687,1,0.93887,1,920.7192,-192.4817,635.8817,524.6844,477.6852,-693.4701,585.3806,450.6025,477.6852,-693.4701,585.3806,450.6025,-430.3738,-1492.705,585.3806,450.6025,-863.6724,-863.6724,0,0,2051.679,2051.679,0,0,0,0,0,0,0,0,0,0,39.63798,43.03812,82.67611
15.9666,0.01667,10.81436,-1,-24.86021,26.14496,78.15393,-17.93864,2.49976,3.16881,2.49976,3.16881,-1.36765,-1.36765,-0.18325,-0.18325,2.57796,-1.12498,2.48642,2.25788,1002.389,-206.2325,647.588,502.7336,437.6754,0,238.8859,0,0.10555,0,0.10555,0,0.89656,1,0.9525,1,942.7813,-206.2325,604.4476,502.7336,589.7422,-568.9285,590.3403,462.0407,589.7422,-568.9285,590.3403,462.0407,-331.5231,-1382.827,590.3403,462.0407,-866.6175,-866.6175,0,0,2061.383,2061.383,0,0,0,0,0,0,0,0,0,0,34.43458,43.71935,78.15393
15.98327,0.01667,10.99533,-1,-24.82435,26.57395,74.56033,-17.77553,2.54387,3.22499,2.54387,3.22499,-1.38294,-1.38294,-0.17718,-0.17718,2.52344,-1.20804,2.38924,2.16519,974.5221,-238.5304,607.9476,481.4353,311.4208,0,172.4048,0,0.07677,0,0.07677,0,0.92477,1,0.96545,1,923.617,-238.5304,574.5118,481.4353,672.4728,-481.7796,588.6332,466.8654,672.4728,-481.7796,588.6332,466.8654,-259.3353,-1306.934,588.6332,466.8654,-869.671,-869.671,0,0,2071.445,2071.445,0,0,0,0,0,0,0,0,0,0,30.71147,43.84887,74.56033
15.99994,0.01667,11.17865,-1,-24.78755,26.94115,72.00807,-17.5838,2.59008,3.28142,2.59008,3.28142,-1.39544,-1.39544,-0.17159,-0.17159,2.42458,-1.31987,2.29891,2.07967,911.4479,-285.0153,570.8477,462.2264,201.6373,0,113.4376,0,0.0509,0,0.0509,0,0.95011,1,0.97709,1,875.3151,-285.0153,547.5632,462.2264,724.7273,-427.4413,582.0672,466.8044,724.7273,-427.4413,582.0672,466.8044,-214.8406,-1260.858,582.0672,466.8044,-872.7977,-872.7977,0,0,2081.784,2081.784,0,0,0,0,0,0,0,0,0,0,28.43451,43.57356,72.00807
16.0166,0.01667,11.3641,-1,-24.7498,27.26534,70.47455,-17.38494,2.63774,3.33795,2.63774,3.33795,-1.40652,-1.40652,-0.16696,-0.16696,2.30244,-1.44427,2.22192,2.00693,829.8651,-341.1375,539.006,446.6825,113.1765,0,64.75658,0,0.02928,0,0.02928,0,0.97131,1,0.98682,1,808.8811,-341.1375,525.1204,446.6825,749.0654,-401.0548,572.3021,463.3556,749.0654,-401.0548,572.3021,463.3556,-195.7039,-1240.179,572.3021,463.3556,-875.9636,-875.9635,0,0,2092.32,2092.32,0,0,0,0,0,0,0,0,0,0,27.44993,43.02461,70.47455
16.03327,0.01667,11.5514,-1,-24.71116,27.56364,69.87612,-17.19578,2.68629,3.39449,2.68629,3.39449,-1.41734,-1.41734,-0.16363,-0.16363,2.17488,-1.56781,2.16265,1.95068,743.7844,-401.6025,514.1547,436.0113,49.14143,0,28.60586,0,0.01302,0,0.01302,0,0.98724,1,0.99414,1,734.7379,-401.6025,507.8314,436.0113,749.816,-397.45,560.89,458.0923,749.816,-397.45,560.89,458.0923,-197.9852,-1240.192,560.89,458.0923,-879.1381,-879.1381,0,0,2102.979,2102.979,0,0,0,0,0,0,0,0,0,0,27.54426,42.33186,69.87612
16.04994,0.01667,11.74022,-1,-24.67169,27.85049,70.07262,-17.02833,2.73523,3.45094,2.73523,3.45094,-1.4288,-1.4288,-0.1618,-0.1618,2.05587,-1.68025,2.12345,1.91285,663.4625,-460.8452,497.0723,430.9401,11.2336,0,6.65137,0,0.00305,0,0.00305,0,0.99701,1,0.99863,1,661.4758,-460.8452,495.5785,430.9401,732.4629,-411.0905,549.1,452.507,732.4629,-411.0905,549.1,452.507,-216.6964,-1255.86,549.1,452.507,-882.296,-882.296,0,0,2113.698,2113.698,0,0,0,0,0,0,0,0,0,0,28.46259,41.61003,70.07262
