time_s,dt_s,speed_kmh,signed_forward_speed_mps,steer_input,throttle_input,brake_input,reverse_input,gear,rpm,displayed_rpm,clutch_engagement,clutch_is_locked,classic_drive_force_request_n,classic_engine_brake_force_request_n,classic_service_brake_force_request_n,limiter_torque_multiplier,rev_limiter_active,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
10.36663,0.01667,13.88762,-3.50016,-1,0,0,1,-1,1581.734,1475.524,1,1,-4254.989,0,0,1,0,-34.99715,45.07137,110.0635,24.85868,-2.90637,-4.06629,-2.90637,-4.06629,2.39555,2.39555,0.34219,0.34219,-3.77945,3.99063,-4.37479,-3.69385,-2113.131,2507.395,-1158.618,-1059.24,0,0,0,0,0,0,0,0,1,1,1,1,-2113.131,2507.395,-1158.618,-1059.24,-2058.158,2483.267,-1100.84,-1025.859,-2058.158,2483.267,-1100.84,-1025.859,-465.8093,3254.438,-1100.84,-1025.859,1220.194,1220.194,0,0,-2127.494,-2127.494,0,0,0,0,0,0,0,0,0,0,21.71351,88.35003,110.0635
10.38329,0.01667,13.99777,-3.52773,-1,0,0,1,-1,1594.269,1488.808,1,1,-4265.731,0,0,1,0,-34.98915,45.40308,110.7221,24.86524,-2.92969,-4.09822,-2.92969,-4.09822,2.41464,2.41464,0.34602,0.34602,-3.80216,3.99391,-4.40866,-3.71792,-2131.95,2511.569,-1169.479,-1070.928,0,0,0,0,0,0,0,0,1,1,1,1,-2131.95,2511.569,-1169.479,-1070.928,-2074.999,2491.895,-1113.264,-1036.329,-2074.999,2491.895,-1113.264,-1036.329,-476.9342,3264.542,-1113.264,-1036.329,1223.031,1223.031,0,0,-2132.865,-2132.865,0,0,0,0,0,0,0,0,0,0,21.42095,89.30112,110.7221
10.39996,0.01667,14.10752,-3.5552,-1,0,0,1,-1,1606.754,1501.999,1,1,-4276.428,0,0,1,0,-34.98118,45.73076,111.3599,24.87193,-2.95295,-4.13,-2.95295,-4.13,2.43362,2.43362,0.34993,0.34993,-3.82414,3.99703,-4.44324,-3.74262,-2150.149,2515.859,-1180.262,-1082.885,0,0,0,0,0,0,0,0,1,1,1,1,-2150.149,2515.859,-1180.262,-1082.885,-2092.211,2499.185,-1125.385,-1047.225,-2092.211,2499.185,-1125.385,-1047.225,-488.3789,3273.537,-1125.385,-1047.225,1225.854,1225.854,0,0,-2138.214,-2138.214,0,0,0,0,0,0,0,0,0,0,21.10258,90.25734,111.3599
10.41663,0.01667,14.21689,-3.58258,-1,0,0,1,-1,1619.196,1515.103,1,1,-4287.087,0,0,1,0,-34.97324,46.05431,111.9913,24.87836,-2.97617,-4.16163,-2.97617,-4.16163,2.45248,2.45248,0.3539,0.3539,-3.84501,4.00027,-4.47833,-3.76778,-2167.36,2520.568,-1190.849,-1095.04,0,0,0,0,0,0,0,0,1,1,1,1,-2167.36,2520.568,-1190.849,-1095.04,-2109.481,2505.664,-1137.227,-1058.499,-2109.481,2505.664,-1137.227,-1058.499,-499.8851,3281.856,-1137.227,-1058.499,1228.666,1228.666,0,0,-2143.543,-2143.543,0,0,0,0,0,0,0,0,0,0,20.77366,91.21764,111.9913
10.43329,0.01667,14.32587,-3.60987,-1,0,0,1,-1,1631.599,1528.122,1,1,-4297.71,0,0,1,0,-34.96532,46.37384,112.6275,24.8844,-2.99936,-4.19312,-2.99936,-4.19312,2.47121,2.47121,0.35792,0.35792,-3.86464,4.00374,-4.51379,-3.79328,-2183.465,2525.821,-1201.177,-1107.353,0,0,0,0,0,0,0,0,1,1,1,1,-2183.465,2525.821,-1201.177,-1107.353,-2126.532,2511.749,-1148.797,-1070.1,-2126.532,2511.749,-1148.797,-1070.1,-511.2241,3289.843,-1148.797,-1070.1,1231.467,1231.467,0,0,-2148.855,-2148.855,0,0,0,0,0,0,0,0,0,0,20.44726,92.18023,112.6275
10.44996,0.01667,14.43448,-3.63708,-1,0,0,1,-1,1643.962,1541.063,1,1,-4308.301,0,0,1,0,-34.95744,46.68961,113.2761,24.89005,-3.0225,-4.22447,-3.0225,-4.22447,2.4898,2.4898,0.36199,0.36199,-3.8831,4.00742,-4.54956,-3.81908,-2198.483,2531.613,-1211.218,-1119.805,0,0,0,0,0,0,0,0,1,1,1,1,-2198.483,2531.613,-1211.218,-1119.805,-2143.233,2517.738,-1160.15,-1081.984,-2143.233,2517.738,-1160.15,-1081.984,-522.288,3297.741,-1160.15,-1081.984,1234.259,1234.259,0,0,-2154.15,-2154.15,0,0,0,0,0,0,0,0,0,0,20.1305,93.14558,113.2761
10.46662,0.01667,14.54269,-3.66419,-1,0,0,1,-1,1656.283,1553.93,1,1,-4318.855,0,0,1,0,-34.94957,47.00194,113.9417,24.89539,-3.04561,-4.25568,-3.04561,-4.25568,2.50827,2.50827,0.3661,0.3661,-3.90055,4.01124,-4.58558,-3.84512,-2212.55,2537.847,-1220.969,-1132.38,0,0,0,0,0,0,0,0,1,1,1,1,-2212.55,2537.847,-1220.969,-1132.38,-2159.45,2523.814,-1171.288,-1094.114,-2159.45,2523.814,-1171.288,-1094.114,-532.9679,3305.7,-1171.288,-1094.114,1237.039,1237.04,0,0,-2159.428,-2159.428,0,0,0,0,0,0,0,0,0,0,19.82945,94.11224,113.9417
10.48329,0.01667,14.6505,-3.6912,-1,0,0,1,-1,1668.561,1566.725,1,1,-4329.374,0,0,1,0,-34.94174,47.31117,114.626,24.90058,-3.06865,-4.28676,-3.06865,-4.28676,2.52663,2.52663,0.37026,0.37026,-3.91723,4.01506,-4.62185,-3.87139,-2225.856,2544.379,-1230.453,-1145.076,0,0,0,0,0,0,0,0,1,1,1,1,-2225.856,2544.379,-1230.453,-1145.076,-2175.095,2530.057,-1182.198,-1106.459,-2175.095,2530.057,-1182.198,-1106.459,-543.1914,3313.785,-1182.198,-1106.459,1239.81,1239.81,0,0,-2164.687,-2164.687,0,0,0,0,0,0,0,0,0,0,19.54767,95.0783,114.626
10.49996,0.01667,14.75791,-3.7181,-1,0,0,1,-1,1680.791,1579.453,1,1,-4339.854,0,0,1,0,-34.93394,47.61765,115.3282,24.9058,-3.09163,-4.31769,-3.09163,-4.31769,2.54491,2.54491,0.37446,0.37446,-3.9334,4.01872,-4.65839,-3.8979,-2238.622,2551.024,-1239.716,-1157.901,0,0,0,0,0,0,0,0,1,1,1,1,-2238.622,2551.024,-1239.716,-1157.901,-2190.155,2536.464,-1192.873,-1118.998,-2190.155,2536.464,-1192.873,-1118.998,-552.9482,3321.995,-1192.873,-1118.998,1242.569,1242.569,0,0,-2169.927,-2169.927,0,0,0,0,0,0,0,0,0,0,19.28556,96.04269,115.3282
10.51662,0.01667,14.86491,-3.74488,-1,0,0,1,-1,1692.971,1592.117,1,1,-4350.292,0,0,1,0,-34.92617,47.92166,116.0459,24.91127,-3.11454,-4.34848,-3.11454,-4.34848,2.56311,2.56311,0.3787,0.3787,-3.94936,4.02207,-4.69524,-3.9247,-2251.093,2557.583,-1248.815,-1170.87,0,0,0,0,0,0,0,0,1,1,1,1,-2251.093,2557.583,-1248.815,-1170.87,-2204.678,2542.969,-1203.32,-1131.716,-2204.678,2542.969,-1203.32,-1131.716,-562.2793,3330.272,-1203.32,-1131.716,1245.315,1245.315,0,0,-2175.146,-2175.146,0,0,0,0,0,0,0,0,0,0,19.04082,97.00506,116.0459
